iter	Passed	Remaining
0	51	51402
1	53	26600
2	55	18301
3	56	14125
4	58	11642
5	60	9981
6	61	8793
7	63	7893
8	65	7202
9	66	6623
10	68	6174
11	70	5815
12	72	5477
13	73	5201
14	75	4963
15	77	4777
16	79	4591
17	81	4424
18	82	4268
19	84	4130
20	86	4012
21	87	3897
22	89	3794
23	91	3700
24	92	3613
25	94	3534
26	96	3460
27	97	3391
28	99	3326
29	100	3265
30	102	3209
31	104	3160
32	106	3109
33	107	3066
34	109	3029
35	111	2989
36	113	2949
37	114	2908
38	116	2872
39	118	2835
40	119	2804
41	122	2791
42	124	2760
43	125	2733
44	127	2705
45	129	2679
46	131	2658
47	132	2631
48	134	2608
49	136	2585
50	137	2561
51	139	2541
52	141	2519
53	142	2500
54	144	2484
55	146	2466
56	147	2446
57	149	2428
58	151	2415
59	152	2396
60	154	2380
61	156	2366
62	158	2350
63	159	2335
64	161	2321
65	163	2307
66	164	2294
67	165	2269
68	167	2255
69	169	2245
70	170	2232
71	172	2221
72	173	2208
73	175	2198
74	177	2188
75	179	2178
76	180	2166
77	182	2155
78	184	2146
79	185	2135
80	187	2126
81	189	2117
82	190	2108
83	192	2098
84	193	2085
85	195	2076
86	196	2061
87	198	2054
88	199	2046
89	201	2037
90	203	2029
91	205	2024
92	206	2016
93	208	2009
94	210	2001
95	212	2000
96	214	1992
97	215	1984
98	217	1977
99	218	1969
100	220	1962
101	221	1946
102	222	1938
103	224	1930
104	225	1925
105	227	1918
106	229	1911
107	230	1905
108	232	1899
109	234	1893
110	235	1887
111	237	1881
112	238	1874
113	240	1870
114	242	1864
115	243	1856
116	245	1850
117	246	1844
118	248	1837
119	249	1832
120	251	1827
121	253	1823
122	254	1813
123	255	1806
124	257	1801
125	258	1795
126	260	1791
127	261	1782
128	263	1779
129	265	1775
130	267	1772
131	268	1767
132	270	1763
133	272	1758
134	273	1754
135	275	1750
136	277	1745
137	278	1739
138	280	1736
139	282	1732
140	283	1728
141	285	1724
142	287	1720
143	288	1716
144	290	1712
145	292	1708
146	293	1704
147	295	1700
148	297	1698
149	299	1694
150	300	1691
151	302	1687
152	304	1683
153	305	1679
154	307	1675
155	308	1671
156	310	1667
157	312	1663
158	313	1659
159	315	1656
160	317	1652
161	318	1648
162	320	1644
163	322	1642
164	323	1638
165	325	1635
166	327	1632
167	328	1628
168	330	1625
169	332	1621
170	333	1618
171	335	1614
172	337	1611
173	338	1607
174	340	1605
175	342	1602
176	343	1599
177	345	1596
178	347	1592
179	348	1589
180	349	1582
181	351	1579
182	352	1575
183	354	1572
184	356	1569
185	357	1565
186	359	1562
187	361	1561
188	363	1558
189	364	1555
190	366	1552
191	368	1549
192	369	1546
193	371	1543
194	372	1539
195	374	1537
196	376	1534
197	378	1531
198	379	1528
199	381	1526
200	383	1523
201	384	1520
202	387	1519
203	388	1516
204	390	1513
205	392	1510
206	393	1508
207	395	1506
208	397	1503
209	398	1499
210	399	1494
211	400	1490
212	402	1486
213	403	1482
214	404	1478
215	406	1474
216	407	1470
217	409	1467
218	410	1465
219	412	1462
220	414	1459
221	415	1456
222	417	1454
223	419	1452
224	420	1449
225	422	1447
226	424	1444
227	425	1441
228	427	1438
229	429	1437
230	430	1434
231	432	1432
232	434	1429
233	435	1427
234	437	1424
235	439	1421
236	440	1419
237	442	1416
238	444	1414
239	445	1412
240	447	1409
241	449	1406
242	450	1404
243	452	1401
244	454	1399
245	455	1396
246	457	1393
247	458	1391
248	460	1389
249	462	1386
250	464	1385
251	465	1382
252	467	1380
253	469	1377
254	470	1375
255	472	1373
256	474	1371
257	475	1368
258	477	1365
259	478	1362
260	480	1360
261	482	1359
262	484	1356
263	486	1356
264	488	1353
265	489	1351
266	491	1348
267	492	1346
268	494	1343
269	496	1341
270	498	1339
271	499	1337
272	501	1335
273	502	1332
274	504	1330
275	506	1328
276	508	1326
277	509	1323
278	511	1321
279	513	1319
280	514	1317
281	516	1315
282	518	1312
283	519	1310
284	521	1308
285	523	1305
286	524	1303
287	526	1301
288	528	1299
289	529	1297
290	531	1295
291	533	1293
292	534	1290
293	536	1288
294	538	1286
295	540	1284
296	541	1282
297	543	1280
298	544	1277
299	546	1275
300	548	1272
301	549	1270
302	551	1268
303	553	1266
304	554	1263
305	556	1261
306	557	1259
307	559	1257
308	561	1255
309	562	1252
310	564	1250
311	566	1248
312	567	1246
313	569	1243
314	571	1241
315	572	1239
316	574	1237
317	575	1234
318	577	1232
319	579	1230
320	580	1228
321	582	1226
322	583	1223
323	585	1221
324	587	1219
325	588	1217
326	590	1215
327	592	1213
328	593	1211
329	595	1209
330	597	1208
331	599	1205
332	601	1203
333	602	1201
334	604	1199
335	606	1198
336	608	1196
